,fiber,wavelength,element,exptime,arm,X,Y,peak
0,2,585.411,Ne,2,b,4066.7559,3138.6487,1.0
1,63,585.411,Ne,2,b,3689.8413,3124.3406,1.0
2,192,585.411,Ne,2,b,2895.6566,3104.4308,1.0
3,255,585.411,Ne,2,b,2508.1881,3099.51,1.0
4,308,585.411,Ne,2,b,2174.0,3097.7355,1.0
5,401,585.411,Ne,2,b,1678.7289,3099.9664,1.0
6,464,585.411,Ne,2,b,1290.2643,3105.2975,1.0
7,525,585.411,Ne,2,b,913.389,3113.4321,1.0
8,587,585.411,Ne,2,b,529.2433,3124.7838,1.0
9,650,585.411,Ne,2,b,137.0864,3139.7081,1.0
10,2,588.3525,Ne,2,b,4066.945,3182.7699,2.0
11,63,588.3525,Ne,2,b,3689.9682,3168.3525,2.0
12,192,588.3525,Ne,2,b,2895.7186,3148.3197,2.0
13,255,588.3525,Ne,2,b,2508.2259,3143.3698,2.0
14,308,588.3525,Ne,2,b,2174.0,3141.5823,2.0
15,401,588.3525,Ne,2,b,1678.6949,3143.8224,2.0
16,464,588.3525,Ne,2,b,1290.1932,3149.1759,2.0
17,525,588.3525,Ne,2,b,913.2708,3157.3513,2.0
18,587,588.3525,Ne,2,b,529.0584,3168.7682,2.0
19,650,588.3525,Ne,2,b,136.79770000000002,3183.7996,2.0
20,2,594.6481,Ne,2,b,4067.3929,3277.3554,3.0
21,63,594.6481,Ne,2,b,3690.2677,3262.6886,3.0
22,192,594.6481,Ne,2,b,2895.8611,3242.3796,3.0
23,255,594.6481,Ne,2,b,2508.3102,3237.3674,3.0
24,308,594.6481,Ne,2,b,2174.0,3235.5515,3.0
25,401,594.6481,Ne,2,b,1678.6187,3237.8086,3.0
26,464,594.6481,Ne,2,b,1290.0289,3243.2162,3.0
27,525,594.6481,Ne,2,b,912.9996,3251.4808,3.0
28,587,594.6481,Ne,2,b,528.6337,3263.0485,3.0
29,650,594.6481,Ne,2,b,136.13330000000002,3278.3202,3.0
30,2,603.1667,Ne,2,b,4068.1038,3405.6943,4.0
31,63,603.1667,Ne,2,b,3690.7379,3390.6615,4.0
32,192,603.1667,Ne,2,b,2896.0778,3369.9451,4.0
33,255,603.1667,Ne,2,b,2508.4366,3364.8455,4.0
34,308,603.1667,Ne,2,b,2174.0,3362.9909,4.0
35,401,603.1667,Ne,2,b,1678.5028,3365.2715,4.0
36,464,603.1667,Ne,2,b,1289.7828,3370.7532,4.0
37,525,603.1667,Ne,2,b,912.5926,3379.1529,4.0
38,587,603.1667,Ne,2,b,527.9935,3390.9431,4.0
39,650,603.1667,Ne,2,b,135.12900000000002,3406.5737,4.0
40,2,607.6019,Ne,2,b,4068.5248,3472.687,5.0
41,63,607.6019,Ne,2,b,3691.0175,3457.4476,5.0
42,192,607.6019,Ne,2,b,2896.2021,3436.5,5.0
43,255,607.6019,Ne,2,b,2508.5084,3431.3511,5.0
44,308,607.6019,Ne,2,b,2174.0,3429.4762,5.0
45,401,607.6019,Ne,2,b,1678.4353,3431.7713,5.0
46,464,607.6019,Ne,2,b,1289.6431,3437.2958,5.0
47,525,607.6019,Ne,2,b,912.3605,3445.7697,5.0
48,587,607.6019,Ne,2,b,527.6266,3457.6872,5.0
49,650,607.6019,Ne,2,b,134.55540000000002,3473.5203,5.0
50,2,609.7851,Ne,2,b,4068.745,3505.7076,6.0
51,63,609.7851,Ne,2,b,3691.1634,3490.3625,6.0
52,192,609.7851,Ne,2,b,2896.265,3469.2966,6.0
53,255,609.7851,Ne,2,b,2508.5441,3464.1228,6.0
54,308,609.7851,Ne,2,b,2174.0,3462.2365,6.0
55,401,609.7851,Ne,2,b,1678.4018,3464.5394,6.0
56,464,609.7851,Ne,2,b,1289.5709,3470.0836,6.0
57,525,609.7851,Ne,2,b,912.2413,3478.5996,6.0
58,587,609.7851,Ne,2,b,527.4377999999999,3490.5814,6.0
59,650,609.7851,Ne,2,b,134.2576,3506.5189,6.0
