fiber,wavelength,element,exptime,arm,X,Y,peak
2,585.4110,Ne,2,b,4018.7559,3106.6487,1.0000
63,585.4110,Ne,2,b,3641.8413,3092.3406,1.0000
192,585.4110,Ne,2,b,2847.6566,3072.4308,1.0000
255,585.4110,Ne,2,b,2460.1881,3067.5100,1.0000
339,585.4110,Ne,2,b,2012.4911,3065.7355,1.0000
401,585.4110,Ne,2,b,1630.7289,3067.9664,1.0000
464,585.4110,Ne,2,b,1242.2643,3073.2975,1.0000
525,585.4110,Ne,2,b,865.3890,3081.4321,1.0000
587,585.4110,Ne,2,b,481.2433,3092.7838,1.0000
650,585.4110,Ne,2,b,89.0864,3107.7081,1.0000
2,588.3525,Ne,2,b,4018.9450,3150.7699,2.0000
63,588.3525,Ne,2,b,3641.9682,3136.3525,2.0000
192,588.3525,Ne,2,b,2847.7186,3116.3197,2.0000
255,588.3525,Ne,2,b,2460.2259,3111.3698,2.0000
339,588.3525,Ne,2,b,2012.4891,3109.5823,2.0000
401,588.3525,Ne,2,b,1630.6949,3111.8224,2.0000
464,588.3525,Ne,2,b,1242.1932,3117.1759,2.0000
525,588.3525,Ne,2,b,865.2708,3125.3513,2.0000
587,588.3525,Ne,2,b,481.0584,3136.7682,2.0000
650,588.3525,Ne,2,b,88.7977,3151.7996,2.0000
2,594.6481,Ne,2,b,4019.3929,3245.3554,3.0000
63,594.6481,Ne,2,b,3642.2677,3230.6886,3.0000
192,594.6481,Ne,2,b,2847.8611,3210.3796,3.0000
255,594.6481,Ne,2,b,2460.3102,3205.3674,3.0000
339,594.6481,Ne,2,b,2012.4854,3203.5515,3.0000
401,594.6481,Ne,2,b,1630.6187,3205.8086,3.0000
464,594.6481,Ne,2,b,1242.0289,3211.2162,3.0000
525,594.6481,Ne,2,b,864.9996,3219.4808,3.0000
587,594.6481,Ne,2,b,480.6337,3231.0485,3.0000
650,594.6481,Ne,2,b,88.1333,3246.3202,3.0000
2,603.1667,Ne,2,b,4020.1038,3373.6943,4.0000
63,603.1667,Ne,2,b,3642.7379,3358.6615,4.0000
192,603.1667,Ne,2,b,2848.0778,3337.9451,4.0000
255,603.1667,Ne,2,b,2460.4366,3332.8455,4.0000
339,603.1667,Ne,2,b,2012.4768,3330.9909,4.0000
401,603.1667,Ne,2,b,1630.5028,3333.2715,4.0000
464,603.1667,Ne,2,b,1241.7828,3338.7532,4.0000
525,603.1667,Ne,2,b,864.5926,3347.1529,4.0000
587,603.1667,Ne,2,b,479.9935,3358.9431,4.0000
650,603.1667,Ne,2,b,87.1290,3374.5737,4.0000
2,607.6019,Ne,2,b,4020.5248,3440.6870,5.0000
63,607.6019,Ne,2,b,3643.0175,3425.4476,5.0000
192,607.6019,Ne,2,b,2848.2021,3404.5000,5.0000
255,607.6019,Ne,2,b,2460.5084,3399.3511,5.0000
339,607.6019,Ne,2,b,2012.4708,3397.4762,5.0000
401,607.6019,Ne,2,b,1630.4353,3399.7713,5.0000
464,607.6019,Ne,2,b,1241.6431,3405.2958,5.0000
525,607.6019,Ne,2,b,864.3605,3413.7697,5.0000
587,607.6019,Ne,2,b,479.6266,3425.6872,5.0000
650,607.6019,Ne,2,b,86.5554,3441.5203,5.0000
2,609.7851,Ne,2,b,4020.7450,3473.7076,6.0000
63,609.7851,Ne,2,b,3643.1634,3458.3625,6.0000
192,609.7851,Ne,2,b,2848.2650,3437.2966,6.0000
255,609.7851,Ne,2,b,2460.5441,3432.1228,6.0000
339,609.7851,Ne,2,b,2012.4675,3430.2365,6.0000
401,609.7851,Ne,2,b,1630.4018,3432.5394,6.0000
464,609.7851,Ne,2,b,1241.5709,3438.0836,6.0000
525,609.7851,Ne,2,b,864.2413,3446.5996,6.0000
587,609.7851,Ne,2,b,479.4378,3458.5814,6.0000
650,609.7851,Ne,2,b,86.2576,3474.5189,6.0000
2,638.4756,Ne,2,b,4024.6237,3910.8118,7.0000
63,638.4756,Ne,2,b,3645.7569,3893.7689,7.0000
192,638.4756,Ne,2,b,2849.3352,3870.7328,7.0000
255,638.4756,Ne,2,b,2461.1323,3865.1520,7.0000
