,fiber,wavelength,element,exptime,arm,X,Y,peak
220,2,696.7352,Ar,45.0,r,4052.1071,894.4393,23.0
221,63,696.7352,Ar,45.0,r,3672.6457,881.065,23.0
222,192,696.7352,Ar,45.0,r,2875.432,861.0425,23.0
223,255,696.7352,Ar,45.0,r,2487.2308,855.904,23.0
224,339,696.7352,Ar,45.0,r,2038.7541,854.2921,23.0
225,401,696.7352,Ar,45.0,r,1657.0199,855.9889,23.0
226,464,696.7352,Ar,45.0,r,1268.8549,860.5815,23.0
227,525,696.7352,Ar,45.0,r,892.2484,867.8068,23.0
228,587,696.7352,Ar,45.0,r,508.3812,878.126,23.0
229,650,696.7352,Ar,45.0,r,116.514,891.2207,23.0
230,2,727.494,Ar,45.0,r,4050.1197,1248.2267,24.0
231,63,727.494,Ar,45.0,r,3671.2007,1233.8228,24.0
232,192,727.494,Ar,45.0,r,2874.8932,1212.5778,24.0
233,255,727.494,Ar,45.0,r,2486.9695,1206.9052,24.0
234,339,727.494,Ar,45.0,r,2039.0042,1205.4078,24.0
235,401,727.494,Ar,45.0,r,1657.4617,1207.239,24.0
236,464,727.494,Ar,45.0,r,1269.5886,1212.2046,24.0
237,525,727.494,Ar,45.0,r,893.3617,1219.8859,24.0
238,587,727.494,Ar,45.0,r,509.9867,1230.986,24.0
239,650,727.494,Ar,45.0,r,118.6971,1244.8491,24.0
240,2,795.0362,Ar,0.0,r,4048.4733,2028.3492,25.0
241,63,795.0362,Ar,0.0,r,3670.0163,2012.6021,25.0
242,192,795.0362,Ar,0.0,r,2874.4458,1989.4093,25.0
243,255,795.0362,Ar,0.0,r,2486.7476,1983.1043,25.0
244,339,795.0362,Ar,0.0,r,2039.3515,1981.3827,25.0
245,401,795.0362,Ar,0.0,r,1657.9876,1983.0846,25.0
246,464,795.0362,Ar,0.0,r,1270.3257,1988.9605,25.0
247,525,795.0362,Ar,0.0,r,894.4137,1997.4739,25.0
248,587,795.0362,Ar,0.0,r,511.435,2009.4848,25.0
249,650,795.0362,Ar,0.0,r,120.6345,2025.1857,25.0
250,2,912.5471,Ar,45.0,r,4054.4016,3410.1321,26.0
251,63,912.5471,Ar,45.0,r,3674.1032,3391.1891,26.0
252,192,912.5471,Ar,45.0,r,2875.837,3363.5289,26.0
253,255,912.5471,Ar,45.0,r,2487.2807,3356.5315,26.0
254,339,912.5471,Ar,45.0,r,2039.702,3353.9473,26.0
255,401,912.5471,Ar,45.0,r,1657.642,3356.191,26.0
256,464,912.5471,Ar,45.0,r,1269.1215,3362.8054,26.0
257,525,912.5471,Ar,45.0,r,892.1213,3373.1841,26.0
258,587,912.5471,Ar,45.0,r,507.7267,3387.8815,26.0
259,650,912.5471,Ar,45.0,r,115.0577,3407.5968,26.0
260,2,966.0435,Ar,45.0,r,4062.2585,4060.4942,27.0
261,63,966.0435,Ar,45.0,r,3679.6536,4037.4411,27.0
262,192,966.0435,Ar,45.0,r,2877.9985,4005.2107,27.0
263,255,966.0435,Ar,45.0,r,2488.2577,3997.3486,27.0
264,339,966.0435,Ar,45.0,r,2039.5917,3994.8611,27.0
265,401,966.0435,Ar,45.0,r,1656.5598,3999.1082,27.0
266,464,966.0435,Ar,45.0,r,1266.8839,4004.5769,27.0
267,525,966.0435,Ar,45.0,r,888.4396,4016.4275,27.0
268,587,966.0435,Ar,45.0,r,502.1989,4035.2109,27.0
269,650,966.0435,Ar,45.0,r,107.1182,4057.163,27.0
