,name,point,x,y,z,color
0,B,1,-241.86700000000002,-89.896,-91.02,red
1,B,2,-273.22700000000003,-33.72,-90.994,red
2,B,3,-269.311,57.794,-91.00399999999999,red
3,B,4,-128.464,257.836,-90.97399999999999,red
4,B,5,-83.876,242.872,-91.012,red
5,B,6,-32.156,288.14799999999997,-91.001,red
6,B,7,-32.613,256.58299999999997,-91.02,red
7,B,8,-150.703,240.727,-90.98700000000001,red
8,B,9,235.53099999999998,-169.14,-91.012,red
9,B,10,205.33900000000003,-153.4,-91.01899999999999,red
10,B,11,174.665,-209.518,-90.98700000000001,red
11,B,12,94.321,-268.262,-90.993,red
12,B,13,83.38799999999999,-251.354,-90.98899999999999,red
13,B,14,-92.565,-275.15,-90.98,red
14,B,15,-103.382,-238.717,-90.98700000000001,red
15,B,16,-234.425,-169.028,-91.023,red
16,B,17,35.733000000000004,253.622,-91.01700000000001,red
17,B,18,50.015,286.341,-90.991,red
18,B,19,95.626,251.77599999999998,-90.988,red
19,B,20,154.643,243.503,-90.979,red
20,B,21,167.451,200.773,-91.00299999999999,red
21,B,22,228.979,157.596,-91.01,red
22,B,23,236.605,99.402,-91.01299999999999,red
23,B,24,276.084,77.94,-90.995,red
24,B,25,275.403,76.752,-90.995,red
25,B,26,260.216,-18.471,-91.00299999999999,red
26,B,27,270.846,-105.575,-90.993,red
27,B,28,246.75,-107.686,-91.012,red
28,B,29,282.92,-24.287,-90.999,red
29,B1,1,-268.66900000000004,-103.477,-93.93700000000001,blue
30,B1,2,-241.868,-89.896,-94.02,blue
31,B1,3,-273.228,-33.72,-93.994,blue
32,B1,4,-269.311,57.794,-94.00399999999999,blue
33,B1,5,-221.157,168.643,-93.994,blue
34,B1,6,-128.464,257.837,-93.97399999999999,blue
35,B1,7,-83.876,242.872,-94.012,blue
36,B1,8,-32.157,288.14799999999997,-94.001,blue
37,B1,9,-32.613,256.584,-94.02,blue
38,B3,1,35.734,253.623,-94.01700000000001,green
39,B3,2,50.015,286.341,-93.991,green
40,B3,3,95.626,251.77599999999998,-93.988,green
41,B3,4,154.643,243.503,-93.979,green
42,B3,5,167.451,200.773,-94.00299999999999,green
43,B3,6,228.979,157.596,-94.01,green
44,B3,7,236.605,99.402,-94.01299999999999,green
45,B3,8,276.085,77.94,-93.995,green
46,B3,9,275.403,76.752,-93.995,green
47,B2,1,235.53099999999998,-169.14,-94.012,k
48,B2,2,205.33900000000003,-153.401,-94.01899999999999,k
49,B2,3,174.665,-209.518,-93.98700000000001,k
50,B2,4,94.321,-268.262,-93.993,k
51,B2,5,83.38799999999999,-251.355,-93.98899999999999,k
52,B2,6,-92.565,-275.15,-93.98,k
53,B2,7,-103.382,-238.718,-93.98700000000001,k
54,B2,8,-234.425,-169.02900000000002,-94.023,k
55,Plan DetBox,1,33.330999999999996,-37.434,-115.25299999999999,orange
56,Plan DetBox,2,44.978,-23.801,-115.229,orange
57,Plan DetBox,3,36.069,39.584,-115.24,orange
58,Plan DetBox,4,4.834,38.367,-115.29899999999999,orange
59,Plan DetBox,5,-0.316,51.895,-115.31299999999999,orange
60,Plan DetBox,6,-18.691,38.134,-115.346,orange
61,Plan DetBox,7,-36.268,39.191,-115.384,orange
62,Plan DetBox,8,-40.373000000000005,15.72,-115.375,orange
63,Plan DetBox,9,-44.309,-24.987,-115.35,orange
64,Goup CamMot1,1,1.2919999999999998,256.377,-104.447,purple
65,Goup CamMot1,2,-1.44,256.497,-104.447,purple
66,Goup CamMot1,3,-0.146,259.945,-104.449,purple
67,Goup1,1,-31.409000000000002,36.742,-115.361,cyan
68,Goup1,2,-33.751,37.364000000000004,-115.365,cyan
69,Goup1,3,-32.308,38.683,-115.363,cyan
70,Goup2,1,33.403,36.543,-115.257,lightblue
71,Goup2,2,31.303,37.094,-115.26100000000001,lightblue
72,Goup2,3,32.583,38.727,-115.259,lightblue
