Slitdefocus MidFiber ExtremeFiber
-2.00000 0.02014 0.01570
-1.95000 0.02101 0.01660
-1.90000 0.02226 0.01710
-1.85000 0.02371 0.01788
-1.80000 0.02504 0.01883
-1.75000 0.02644 0.01965
-1.70000 0.02781 0.02117
-1.65000 0.02930 0.02211
-1.60000 0.03114 0.02328
-1.55000 0.03256 0.02428
-1.50000 0.03410 0.02539
-1.45000 0.03609 0.02651
-1.40000 0.03828 0.02831
-1.35000 0.04131 0.02984
-1.30000 0.04393 0.03137
-1.25000 0.04719 0.03354
-1.20000 0.05079 0.03597
-1.15000 0.05466 0.03812
-1.10000 0.05880 0.04103
-1.05000 0.06386 0.04377
-1.00000 0.06907 0.04669
-0.95000 0.07440 0.05016
-0.90000 0.08131 0.05298
-0.85000 0.08843 0.05679
-0.80000 0.09648 0.06152
-0.75000 0.10536 0.06635
-0.70000 0.11506 0.07285
-0.65000 0.12500 0.07979
-0.60000 0.13747 0.08652
-0.55000 0.15272 0.09408
-0.50000 0.16825 0.10324
-0.45000 0.18766 0.11289
-0.40000 0.20626 0.12491
-0.35000 0.23006 0.13846
-0.30000 0.25596 0.15373
-0.25000 0.28538 0.17109
-0.20000 0.31824 0.18946
-0.15000 0.35333 0.20994
-0.10000 0.39048 0.23554
-0.05000 0.43572 0.26403
0.00000 0.48118 0.29555
0.05000 0.52692 0.33257
0.10000 0.57166 0.37073
0.15000 0.61438 0.41174
0.20000 0.65018 0.45342
0.25000 0.68007 0.49500
0.30000 0.70268 0.53529
0.35000 0.70980 0.57617
0.40000 0.70236 0.61224
0.45000 0.67999 0.64240
0.50000 0.64342 0.65822
0.55000 0.59430 0.66389
0.60000 0.53831 0.65275
0.65000 0.48110 0.63247
0.70000 0.42539 0.60378
0.75000 0.37048 0.56557
0.80000 0.31511 0.52268
0.85000 0.26406 0.47543
0.90000 0.21584 0.42504
0.95000 0.17254 0.37587
1.00000 0.13486 0.32585
1.05000 0.10257 0.27579
1.10000 0.08289 0.23093
1.15000 0.06975 0.18991
1.20000 0.06190 0.15367
1.25000 0.05570 0.12383
1.30000 0.05058 0.10129
1.35000 0.04621 0.08096
1.40000 0.04260 0.06705
1.45000 0.03989 0.05753
1.50000 0.03723 0.05008
1.55000 0.03455 0.04587
1.60000 0.03301 0.04183
1.65000 0.03116 0.03902
1.70000 0.02914 0.03660
1.75000 0.02772 0.03450
1.80000 0.02591 0.03218
1.85000 0.02469 0.03001
1.90000 0.02283 0.02852
1.95000 0.02153 0.02647
