Slitdefocus MidFiber ExtremeFiber
-2.00000 0.01331 0.00913
-1.95000 0.01436 0.00991
-1.90000 0.01484 0.01088
-1.85000 0.01592 0.01135
-1.80000 0.01628 0.01172
-1.75000 0.01709 0.01228
-1.70000 0.01803 0.01305
-1.65000 0.01907 0.01328
-1.60000 0.02024 0.01411
-1.55000 0.02119 0.01505
-1.50000 0.02243 0.01598
-1.45000 0.02395 0.01696
-1.40000 0.02551 0.01820
-1.35000 0.02720 0.01924
-1.30000 0.02889 0.02093
-1.25000 0.03072 0.02221
-1.20000 0.03290 0.02316
-1.15000 0.03598 0.02423
-1.10000 0.03795 0.02560
-1.05000 0.04070 0.02721
-1.00000 0.04387 0.02917
-0.95000 0.04712 0.03089
-0.90000 0.05161 0.03319
-0.85000 0.05662 0.03539
-0.80000 0.06160 0.03718
-0.75000 0.06728 0.03997
-0.70000 0.07332 0.04377
-0.65000 0.08046 0.04712
-0.60000 0.08946 0.05046
-0.55000 0.09802 0.05700
-0.50000 0.10669 0.06276
-0.45000 0.11816 0.06972
-0.40000 0.12991 0.07658
-0.35000 0.14241 0.08656
-0.30000 0.15683 0.09434
-0.25000 0.16956 0.10639
-0.20000 0.18423 0.11816
-0.15000 0.20373 0.13176
-0.10000 0.22208 0.14343
-0.05000 0.24198 0.15871
0.00000 0.26150 0.17403
0.05000 0.28251 0.19222
0.10000 0.30577 0.21187
0.15000 0.32851 0.23640
0.20000 0.34954 0.26029
0.25000 0.37012 0.28121
0.30000 0.38914 0.30068
0.35000 0.40799 0.31944
0.40000 0.41888 0.34419
0.45000 0.42874 0.36208
0.50000 0.43261 0.37840
0.55000 0.42383 0.39288
0.60000 0.40744 0.40202
0.65000 0.39179 0.40393
0.70000 0.36809 0.40511
0.75000 0.33957 0.40155
0.80000 0.30386 0.38827
0.85000 0.26961 0.37192
0.90000 0.23405 0.34794
0.95000 0.19597 0.32304
1.00000 0.16223 0.29512
1.05000 0.12581 0.26492
1.10000 0.09897 0.23273
1.15000 0.07726 0.20161
1.20000 0.05792 0.16979
1.25000 0.04686 0.14332
1.30000 0.03987 0.11421
1.35000 0.03530 0.09310
1.40000 0.03225 0.07366
1.45000 0.02940 0.06046
1.50000 0.02711 0.04896
1.55000 0.02517 0.04004
1.60000 0.02309 0.03309
1.65000 0.02194 0.02939
1.70000 0.02071 0.02660
1.75000 0.01893 0.02453
1.80000 0.01808 0.02318
1.85000 0.01677 0.02169
1.90000 0.01571 0.02091
1.95000 0.01507 0.02007
