,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level_0,index,fiber,wavelength,element,exptime,arm,X,Y,peak,dcb_wheel,lamp
0,0,0,0,0,270,2,954.3510,Kr,50,r,4020.2585,3923.4942,29.0000,12.7000,Kr
1,1,1,1,1,271,63,954.3510,Kr,50,r,3637.6536,3900.4411,29.0000,12.7000,Kr
2,2,2,2,2,272,192,954.3510,Kr,50,r,2835.9985,3868.2107,29.0000,12.7000,Kr
3,3,3,3,3,273,255,954.3510,Kr,50,r,2446.2577,3860.3486,29.0000,12.7000,Kr
4,4,4,4,4,274,339,954.3510,Kr,50,r,1997.5917,3857.8611,29.0000,12.7000,Kr
5,5,5,5,5,275,401,954.3510,Kr,50,r,1614.5598,3862.1082,29.0000,12.7000,Kr
6,6,6,6,6,276,464,954.3510,Kr,50,r,1224.8839,3867.5769,29.0000,12.7000,Kr
7,7,7,7,7,277,525,954.3510,Kr,50,r,846.4396,3879.4275,29.0000,12.7000,Kr
8,8,8,8,8,278,587,954.3510,Kr,50,r,460.1989,3898.2109,29.0000,12.7000,Kr
9,9,9,9,9,279,650,954.3510,Kr,50,r,65.1182,3920.1630,29.0000,12.7000,Kr
10,10,10,10,10,210,2,945.3470,Kr,50,r,4012.7104,3813.9057,22.0000,12.7000,Kr
11,11,11,11,11,211,63,945.3470,Kr,50,r,3632.2935,3794.8282,22.0000,12.7000,Kr
12,12,12,12,12,212,192,945.3470,Kr,50,r,2833.9085,3767.0080,22.0000,12.7000,Kr
13,13,13,13,13,213,255,945.3470,Kr,50,r,2445.3135,3759.9834,22.0000,12.7000,Kr
14,14,14,14,14,214,339,945.3470,Kr,50,r,1997.7046,3757.3892,22.0000,12.7000,Kr
15,15,15,15,15,215,401,945.3470,Kr,50,r,1615.5913,3759.6828,22.0000,12.7000,Kr
16,16,16,16,16,216,464,945.3470,Kr,50,r,1227.0513,3766.2853,22.0000,12.7000,Kr
17,17,17,17,17,217,525,945.3470,Kr,50,r,850.0055,3776.7246,22.0000,12.7000,Kr
18,18,18,18,18,218,587,945.3470,Kr,50,r,465.5173,3791.5488,22.0000,12.7000,Kr
19,19,19,19,19,219,650,945.3470,Kr,50,r,72.7853,3811.3670,22.0000,12.7000,Kr
20,20,20,20,0,270,2,932.8590,Kr,50,r,4020.2585,3658.4942,29.0000,12.7000,Kr
21,21,21,21,1,271,63,932.8590,Kr,50,r,3637.6536,3635.4411,29.0000,12.7000,Kr
22,22,22,22,2,272,192,932.8590,Kr,50,r,2835.9985,3603.2107,29.0000,12.7000,Kr
23,23,23,23,3,273,255,932.8590,Kr,50,r,2446.2577,3595.3486,29.0000,12.7000,Kr
24,24,24,24,4,274,339,932.8590,Kr,50,r,1997.5917,3592.8611,29.0000,12.7000,Kr
25,25,25,25,5,275,401,932.8590,Kr,50,r,1614.5598,3597.1082,29.0000,12.7000,Kr
26,26,26,26,6,276,464,932.8590,Kr,50,r,1224.8839,3602.5769,29.0000,12.7000,Kr
27,27,27,27,7,277,525,932.8590,Kr,50,r,846.4396,3614.4275,29.0000,12.7000,Kr
28,28,28,28,8,278,587,932.8590,Kr,50,r,467.1989,3633.2109,29.0000,12.7000,Kr
29,29,29,29,9,279,650,932.8590,Kr,50,r,72.1182,3655.1630,29.0000,12.7000,Kr
