,Unnamed: 0,fiber,wavelength,element,exptime,arm,X,Y,peak
0,0,2,585.411,Ne,2,b,4008.7559,3098.6487,1.0
1,1,63,585.411,Ne,2,b,3631.8413,3084.3406,1.0
2,2,192,585.411,Ne,2,b,2837.6566,3064.4308,1.0
3,3,255,585.411,Ne,2,b,2450.1881,3059.51,1.0
4,4,339,585.411,Ne,2,b,2002.4911,3057.7355,1.0
5,5,401,585.411,Ne,2,b,1620.7289,3059.9664,1.0
6,6,464,585.411,Ne,2,b,1232.2643,3065.2975,1.0
7,7,525,585.411,Ne,2,b,855.3889999999999,3073.4321,1.0
8,8,587,585.411,Ne,2,b,471.2433,3084.7838,1.0
9,9,650,585.411,Ne,2,b,79.0864,3099.7081,1.0
10,10,2,588.3525,Ne,2,b,4008.945,3142.7699,2.0
11,11,63,588.3525,Ne,2,b,3631.9682,3128.3525,2.0
12,12,192,588.3525,Ne,2,b,2837.7186,3108.3197,2.0
13,13,255,588.3525,Ne,2,b,2450.2259,3103.3698,2.0
14,14,339,588.3525,Ne,2,b,2002.4891,3101.5823,2.0
15,15,401,588.3525,Ne,2,b,1620.6949,3103.8224,2.0
16,16,464,588.3525,Ne,2,b,1232.1932,3109.1759,2.0
17,17,525,588.3525,Ne,2,b,855.2708,3117.3513,2.0
18,18,587,588.3525,Ne,2,b,471.0584,3128.7682,2.0
19,19,650,588.3525,Ne,2,b,78.7977,3143.7996,2.0
20,20,2,594.6481,Ne,2,b,4009.3929,3237.3554,3.0
21,21,63,594.6481,Ne,2,b,3632.2677,3222.6886,3.0
22,22,192,594.6481,Ne,2,b,2837.8611,3202.3796,3.0
23,23,255,594.6481,Ne,2,b,2450.3102,3197.3674,3.0
24,24,339,594.6481,Ne,2,b,2002.4854,3195.5515,3.0
25,25,401,594.6481,Ne,2,b,1620.6187,3197.8086,3.0
26,26,464,594.6481,Ne,2,b,1232.0289,3203.2162,3.0
27,27,525,594.6481,Ne,2,b,854.9996,3211.4808,3.0
28,28,587,594.6481,Ne,2,b,470.6337,3223.0485,3.0
29,29,650,594.6481,Ne,2,b,78.1333,3238.3202,3.0
30,30,2,603.1667,Ne,2,b,4010.1038,3365.6943,4.0
31,31,63,603.1667,Ne,2,b,3632.7379,3350.6615,4.0
32,32,192,603.1667,Ne,2,b,2838.0778,3329.9451,4.0
33,33,255,603.1667,Ne,2,b,2450.4366,3324.8455,4.0
34,34,339,603.1667,Ne,2,b,2002.4768,3322.9909,4.0
35,35,401,603.1667,Ne,2,b,1620.5028,3325.2715,4.0
36,36,464,603.1667,Ne,2,b,1231.7828,3330.7532,4.0
37,37,525,603.1667,Ne,2,b,854.5926,3339.1529,4.0
38,38,587,603.1667,Ne,2,b,469.9935,3350.9431,4.0
39,39,650,603.1667,Ne,2,b,77.12899999999999,3366.5737,4.0
40,40,2,607.6019,Ne,2,b,4010.5248,3432.687,5.0
41,41,63,607.6019,Ne,2,b,3633.0175,3417.4476,5.0
42,42,192,607.6019,Ne,2,b,2838.2021,3396.5,5.0
43,43,255,607.6019,Ne,2,b,2450.5084,3391.3511,5.0
44,44,339,607.6019,Ne,2,b,2002.4708,3389.4762,5.0
45,45,401,607.6019,Ne,2,b,1620.4353,3391.7713,5.0
46,46,464,607.6019,Ne,2,b,1231.6431,3397.2958,5.0
47,47,525,607.6019,Ne,2,b,854.3605,3405.7697,5.0
48,48,587,607.6019,Ne,2,b,469.6266,3417.6872,5.0
49,49,650,607.6019,Ne,2,b,76.5554,3433.5203,5.0
50,50,2,609.7851,Ne,2,b,4010.745,3465.7076,6.0
51,51,63,609.7851,Ne,2,b,3633.1634,3450.3625,6.0
52,52,192,609.7851,Ne,2,b,2838.265,3429.2966,6.0
53,53,255,609.7851,Ne,2,b,2450.5441,3424.1228,6.0
54,54,339,609.7851,Ne,2,b,2002.4675,3422.2365,6.0
55,55,401,609.7851,Ne,2,b,1620.4018,3424.5394,6.0
56,56,464,609.7851,Ne,2,b,1231.5709,3430.0836,6.0
57,57,525,609.7851,Ne,2,b,854.2413,3438.5996,6.0
58,58,587,609.7851,Ne,2,b,469.4378,3450.5814,6.0
59,59,650,609.7851,Ne,2,b,76.2576,3466.5189,6.0
60,60,2,638.4756,Ne,2,b,4014.6237,3902.8118,7.0
61,61,63,638.4756,Ne,2,b,3635.7569,3885.7689,7.0
62,62,192,638.4756,Ne,2,b,2839.3352,3862.7328,7.0
63,63,255,638.4756,Ne,2,b,2451.1323,3857.152,7.0
64,64,339,638.4756,Ne,2,b,2002.4117,3855.1,7.0
65,65,401,638.4756,Ne,2,b,1619.8381,3857.5241,7.0
66,66,464,638.4756,Ne,2,b,1230.385,3863.4365,7.0
67,67,525,638.4756,Ne,2,b,852.2509,3872.6162,7.0
68,68,587,638.4756,Ne,2,b,466.2708,3885.708,7.0
69,69,650,638.4756,Ne,2,b,71.3615,3903.3274,7.0
70,70,2,650.8325,Ne,2,b,4016.9282,4093.1275,8.0
71,71,63,650.8325,Ne,2,b,3637.3557,4075.1921,8.0
72,72,192,650.8325,Ne,2,b,2839.9695,4051.0,8.0
73,73,255,650.8325,Ne,2,b,2451.4681,4045.1737,8.0
74,74,339,650.8325,Ne,2,b,2002.3724,4043.0263,8.0
75,75,401,650.8325,Ne,2,b,1619.509,4045.5291,8.0
76,76,464,650.8325,Ne,2,b,1229.6915,4051.6739,8.0
77,77,525,650.8325,Ne,2,b,851.0835,4061.2618,8.0
78,78,587,650.8325,Ne,2,b,464.4227,4075.0019,8.0
79,79,650,650.8325,Ne,2,b,68.6069,4093.5128,8.0
80,80,2,404.7708,Hg,2,b,4014.2748,446.11699999999996,9.0
81,81,63,404.7708,Hg,2,b,3635.0971,437.3762,9.0
82,82,192,404.7708,Hg,2,b,2838.2412,424.1442,9.0
83,83,255,404.7708,Hg,2,b,2450.1425,420.8045,9.0
84,84,339,404.7708,Hg,2,b,2002.1909,419.7467,9.0
85,85,401,404.7708,Hg,2,b,1620.3849,421.561,9.0
86,86,464,404.7708,Hg,2,b,1232.083,425.593,9.0
87,87,525,404.7708,Hg,2,b,855.4822,431.5147,9.0
88,88,587,404.7708,Hg,2,b,471.5797,439.3791,9.0
89,89,650,404.7708,Hg,2,b,79.4574,448.9628,9.0
90,90,2,435.95599999999996,Hg,2,b,4010.7931,899.0182,10.0
91,91,63,435.95599999999996,Hg,2,b,3632.922,888.8912,10.0
92,92,192,435.95599999999996,Hg,2,b,2837.5534,874.071,10.0
93,93,255,435.95599999999996,Hg,2,b,2449.8589,870.3958,10.0
94,94,339,435.95599999999996,Hg,2,b,2002.2947,869.1939,10.0
95,95,401,435.95599999999996,Hg,2,b,1620.7545,871.1031,10.0
96,96,464,435.95599999999996,Hg,2,b,1232.7267,875.4283,10.0
97,97,525,435.95599999999996,Hg,2,b,856.4671,881.8760000000001,10.0
98,98,587,435.95599999999996,Hg,2,b,473.1206,890.6176,10.0
99,99,650,435.95599999999996,Hg,2,b,81.935,901.5596,10.0
100,100,2,546.2268,Hg,2,b,4007.2722,2514.7631,11.0
101,101,63,546.2268,Hg,2,b,3630.8147,2501.6552,11.0
102,102,192,546.2268,Hg,2,b,2837.0831,2483.1758,11.0
103,103,255,546.2268,Hg,2,b,2449.8216,2478.6031,11.0
104,104,339,546.2268,Hg,2,b,2002.4905,2476.9874,11.0
105,105,401,546.2268,Hg,2,b,1621.0337,2479.1259,11.0
106,106,464,546.2268,Hg,2,b,1232.955,2484.173,11.0
107,107,525,546.2268,Hg,2,b,856.5477,2491.8333,11.0
108,108,587,546.2268,Hg,2,b,473.04900000000004,2502.4431,11.0
109,109,650,546.2268,Hg,2,b,81.8824,2516.2143,11.0
110,110,2,577.121,Hg,2,b,4008.2883,2974.5411,12.0
111,111,63,577.121,Hg,2,b,3631.527,2960.5205,12.0
112,112,192,577.121,Hg,2,b,2837.4973,2940.9437,12.0
113,113,255,577.121,Hg,2,b,2450.0916,2936.0989,12.0
114,114,339,577.121,Hg,2,b,2002.4946,2934.3603,12.0
115,115,401,577.121,Hg,2,b,1620.8139999999999,2936.5712,12.0
116,116,464,577.121,Hg,2,b,1232.4508,2941.8383,12.0
117,117,525,577.121,Hg,2,b,855.6972,2949.8636,12.0
118,118,587,577.121,Hg,2,b,471.7231,2961.0391,12.0
119,119,650,577.121,Hg,2,b,79.8344,2975.6834,12.0
120,120,2,579.2276,Hg,2,b,4008.3986,3006.0457,13.0
121,121,63,579.2276,Hg,2,b,3631.6019,2991.9553,13.0
122,122,192,579.2276,Hg,2,b,2837.5356,2972.2964,13.0
123,123,255,579.2276,Hg,2,b,2450.1154,2967.4323,13.0
124,124,339,579.2276,Hg,2,b,2002.4942,2965.6842,13.0
125,125,401,579.2276,Hg,2,b,1620.7928,2967.9011,13.0
126,126,464,579.2276,Hg,2,b,1232.406,2973.1826,13.0
127,127,525,579.2276,Hg,2,b,855.6225,2981.2355,13.0
