Temperature,Pressure
88.4193535592,1.44156803115085E-020
89.4204062658,2.73714219970129E-020
90.328548927,5.08422096741203E-020
91.0660603667,8.70089445856757E-020
91.7973359504,1.67896448798849E-019
92.7282459858,2.99454045649354E-019
93.6999582836,5.28241367156781E-019
94.322712323,8.45888892442029E-019
94.9385640796,1.51096600887813E-018
95.7477894132,2.59999110904554E-018
96.7112504066,4.5096102159741E-018
97.6099734705,7.79998909105108E-018
98.5094430986,1.32358061499998E-017
99.2656961829,2.2089489691988E-017
100.1040701661,3.72465670013474E-017
100.9495084277,6.26064761681063E-017
101.7246705909,1.08059398241713E-016
102.7405860172,1.9252405767198E-016
103.6242126234,3.31427590803633E-016
104.5790717548,5.59148949927999E-016
105.4624341828,9.62567440224838E-016
106.4426581931,1.71950570182662E-015
107.5221181664,3.08500920929681E-015
108.6897028829,5.63977860252685E-015
109.7220163751,9.35928668358982E-015
110.8174317934,1.5634804197667E-014
111.8558905829,2.76323812756448E-014
112.9269096414,4.7850462122381E-014
114.1163810672,8.04513079907672E-014
115.0998694631,1.44909013744592E-013
116.2817749816,2.45450557714278E-013
117.6275150937,4.21772928725987E-013
118.8508363783,7.30044412110825E-013
120.2419275881,1.27731307607629E-012
121.649405245,2.27226471621776E-012
122.8049845522,3.87758343344225E-012
124.1286198939,6.61266432684912E-012
125.4195523992,1.14458238359748E-011
126.8708900664,1.92090131941654E-011
128.1736023994,3.22229879202479E-011
129.4896484616,5.3711236208423E-011
131.0050905089,9.16270964464274E-011
132.5556217576,1.62323769263541E-010
134.1072377031,2.88839374721394E-010
135.5329595029,4.85942793596429E-010
137.2866319872,7.9839837630978E-010
138.9424541446,1.39232317588606E-009
140.5864514007,2.30954306545565E-009
142.281704132,3.83056852731056E-009
144.174759471,6.52584652298974E-009
146.093397049,1.1715103160729E-008
147.8554217947,2.0386306015353E-008
149.6384095454,3.41755598111669E-008
151.6290720191,5.62235050721656E-008
153.7262435016,9.48166666238583E-008
155.9754709085,1.60527087749847E-007
158.1330004769,2.78900356349144E-007
160.2153552927,4.83577803034389E-007
162.0065645499,8.32566347659401E-007
164.363517503,1.33556929995452E-006
166.8671865149,2.28413097438049E-006
169.4089008132,3.86560125895546E-006
171.98980845,6.90359879133121E-006
174.609609507,1.17603615323373E-005
177.2692440646,1.98768201498755E-005
180.0868964267,3.40385694300723E-005
182.9526423366,5.65887178775054E-005
185.8050643344,9.69804374376104E-005
188.6351117472,0.0001619877
191.5617615698,0.0002698611
194.7858048456,0.0004516249
198.0866464298,0.0007708906
201.4035175734,0.0012653542
204.5448002246,0.0021487285
208.2201773041,0.0038341582
211.8890014254,0.0059222426
215.3007944946,0.0099179912
219.4433340701,0.0170066168
223.5028605708,0.0284810143
227.6694152402,0.0481947466
231.9135659076,0.0810301557
236.2365990047,0.133629338
240.6396825962,0.2111098272
245.1247512546,0.3313735244
249.658959576,0.537845403
254.3475647773,0.8377715854
259.1605257852,1.3143223001
264.0279149323,2.0995491297
268.8358899806,3.2261818631
273.8451459586,4.6075650961
278.9486374914,7.0031665312
284.1468615462,10.3735719068
289.4426933161,16.1438820676
295.102385301,23.3051948437
300.3300032454,33.7155249163
305.7978952503,48.1776559951
311.6268018721,70.2618287586
317.4334924178,100.9948806197
323.3479513483,141.4784082265
329.372901497,201.6231398836
335.5098913695,283.6586486018
341.7613794129,402.5143679274
348.1300839407,594.9532342688
354.6161707362,819.2458129781
361.2225802803,1097.0441339597
367.9514941049,1425.5419812646
372.6102097331,1625.8896777882
